Country,Date,TEKs,Cases
pl,2020-10-16,1866,8099
pl,2020-10-17,1863,7705
pl,2020-10-18,1867,9622
pl,2020-10-19,1760,8536
pl,2020-10-20,1681,7482
pl,2020-10-21,1617,9291
pl,2020-10-22,1486,10040
pl,2020-10-23,1585,12107
pl,2020-10-24,1615,13632
pl,2020-10-25,1558,13628
pl,2020-10-26,1530,11742
pl,2020-10-27,1394,10241
pl,2020-10-28,1100,16300
pl,2020-10-29,987,18820
pl,2020-10-30,849,20156
pl,2020-10-31,647,21629
pl,2020-11-01,1476,21897
pl,2020-11-02,380,17171
pl,2020-11-03,190,15578
ch,2020-09-01,312,163
ch,2020-09-02,333,216
ch,2020-09-03,321,370
ch,2020-09-04,333,364
ch,2020-09-05,341,405
ch,2020-09-06,350,425
ch,2020-09-07,368,444
ch,2020-09-08,356,191
ch,2020-09-09,359,246
ch,2020-09-10,367,469
ch,2020-09-11,360,405
ch,2020-09-12,360,528
ch,2020-09-13,369,465
ch,2020-09-14,363,475
ch,2020-09-15,371,258
ch,2020-09-16,368,315
ch,2020-09-17,354,514
ch,2020-09-18,327,530
ch,2020-09-19,327,489
ch,2020-09-20,315,1
ch,2020-09-21,305,0
ch,2020-09-22,280,1096
ch,2020-09-23,238,287
ch,2020-09-24,241,436
ch,2020-09-25,239,391
ch,2020-09-26,304,372
ch,2020-09-27,355,0
ch,2020-09-28,457,0
ch,2020-09-29,536,782
ch,2020-09-30,619,225
ch,2020-10-01,647,410
ch,2020-10-02,686,551
ch,2020-10-03,834,552
ch,2020-10-04,984,2
ch,2020-10-05,1126,0
ch,2020-10-06,1259,1548
ch,2020-10-07,1362,700
ch,2020-10-08,1476,1078
ch,2020-10-09,1625,1172
ch,2020-10-10,1846,1487
ch,2020-10-11,2154,3
ch,2020-10-12,2451,0
ch,2020-10-13,2719,4068
ch,2020-10-14,2946,1446
ch,2020-10-15,3150,2823
ch,2020-10-16,3309,2614
ch,2020-10-17,3634,3107
ch,2020-10-18,4015,4
ch,2020-10-19,4379,1
ch,2020-10-20,4843,8737
ch,2020-10-21,5279,3013
ch,2020-10-22,5620,5597
ch,2020-10-23,5776,5258
ch,2020-10-24,6136,6638
ch,2020-10-25,6450,0
ch,2020-10-26,6704,1
ch,2020-10-27,6456,17441
ch,2020-10-28,6161,5950
ch,2020-10-29,5633,8620
ch,2020-10-30,5041,9390
ch,2020-10-31,4430,9208
ch,2020-11-01,3838,1
ch,2020-11-02,3123,1
ch,2020-11-03,2147,21928
ch,2020-11-04,987,6128
ch,2020-11-05,25,0
