Date,Country,TEKs,Cases
2020-09-26,pl,249,1587
2020-09-26,si,304,191
2020-09-27,at,131,714
2020-09-27,cz,3181,1976
2020-09-27,de,290,1314
2020-09-27,ee,12,47
2020-09-27,es,315,0
2020-09-27,fi,330,93
2020-09-27,ie,1511,245
2020-09-27,it,43,1869
2020-09-27,nl,55,2760
2020-09-27,pl,248,1584
2020-09-28,at,158,662
2020-09-28,cz,5068,1303
2020-09-28,de,632,1313
2020-09-28,ee,10,35
2020-09-28,es,269,0
2020-09-28,fi,390,105
2020-09-28,ie,1653,430
2020-09-28,it,49,1766
2020-09-28,nl,37,5351
2020-09-28,pl,140,1350
2020-09-28,si,457,159
2020-09-29,at,143,556
2020-09-29,cz,7186,1286
2020-09-29,de,686,2292
2020-09-29,ee,10,67
2020-09-29,es,265,31785
2020-09-29,fi,431,61
2020-09-29,ie,1745,387
2020-09-29,it,56,1494
2020-09-29,nl,41,637
2020-09-29,pl,237,1306
2020-09-29,si,536,38
2020-09-30,at,151,609
2020-09-30,cz,9439,1960
2020-09-30,de,945,1840
2020-09-30,ee,9,48
2020-09-30,es,294,0
2020-09-30,fi,479,149
2020-09-30,ie,1855,363
2020-09-30,it,73,1647
2020-09-30,nl,89,3093
2020-09-30,pl,420,1326
2020-09-30,si,619,99
2020-10-01,at,128,772
2020-10-01,cz,11891,1076
2020-10-01,de,720,2442
2020-10-01,ee,8,56
2020-10-01,es,317,20922
2020-10-01,fi,550,100
2020-10-01,ie,1972,415
2020-10-01,it,94,1850
2020-10-01,nl,25,3353
2020-10-01,pl,662,1552
2020-10-01,si,647,203
2020-10-02,at,113,873
2020-10-02,cz,12115,5336
2020-10-02,de,511,2626
2020-10-02,ee,10,79
2020-10-02,es,312,9419
2020-10-02,fi,604,111
2020-10-02,ie,2066,442
2020-10-02,it,116,2548
2020-10-02,mt,117,37
2020-10-02,nl,21,3295
2020-10-02,pl,962,1967
2020-10-02,si,686,175
2020-10-03,at,143,688
2020-10-03,cz,10698,3796
2020-10-03,de,531,2835
2020-10-03,ee,7,57
2020-10-03,es,312,11325
2020-10-03,fi,657,141
2020-10-03,ie,2178,466
2020-10-03,it,148,2499
2020-10-03,nl,20,3883
2020-10-03,pl,1073,2292
2020-10-03,si,834,238
2020-10-04,at,146,1058
2020-10-04,cz,9230,2554
2020-10-04,de,381,1653
2020-10-04,ee,6,70
2020-10-04,es,353,0
2020-10-04,fi,686,147
2020-10-04,ie,2242,605
2020-10-04,it,177,2843
2020-10-04,mt,121,65
2020-10-04,nl,27,4025
2020-10-04,pl,1299,2367
2020-10-04,si,984,227
2020-10-05,at,162,714
2020-10-05,cz,7379,1841
2020-10-05,de,399,1546
2020-10-05,ee,5,30
2020-10-05,es,350,0
2020-10-05,fi,671,147
2020-10-05,ie,2306,364
2020-10-05,it,210,2578
2020-10-05,lv,1,67
2020-10-05,mt,120,66
2020-10-05,nl,29,4032
2020-10-05,pl,1412,1934
2020-10-05,si,1126,168
2020-10-06,at,177,750
2020-10-06,cz,5278,3120
2020-10-06,de,462,3100
2020-10-06,ee,8,10
2020-10-06,es,384,23480
2020-10-06,fi,651,164
2020-10-06,ie,2394,517
2020-10-06,it,250,2257
2020-10-06,lv,1,40
2020-10-06,nl,61,32
2020-10-06,pl,1577,2006
2020-10-06,si,1259,175
2020-10-07,at,212,923
2020-10-07,cz,3051,4456
2020-10-07,de,664,2454
2020-10-07,ee,4,42
2020-10-07,es,375,11998
2020-10-07,fi,609,227
2020-10-07,ie,2779,424
2020-10-07,it,628,2677
2020-10-07,lv,2,68
2020-10-07,nl,70,9138
2020-10-07,pl,1502,2236
2020-10-07,si,1362,91
2020-10-08,at,215,1029
2020-10-08,cz,3741,5338
2020-10-08,de,667,4010
2020-10-08,ee,5,56
2020-10-08,es,418,10491
2020-10-08,fi,575,120
2020-10-08,hu,1,816
2020-10-08,ie,3586,611
2020-10-08,it,1309,3677
2020-10-08,lv,2,67
2020-10-08,nl,81,5052
2020-10-08,pl,1522,3003
2020-10-09,at,244,1209
2020-10-09,cz,4502,5397
2020-10-09,de,637,4804
2020-10-09,ee,6,45
2020-10-09,es,426,12423
2020-10-09,fi,545,296
2020-10-09,hu,1,932
2020-10-09,ie,4583,502
2020-10-09,it,1351,4458
2020-10-09,lv,5,109
2020-10-09,mt,129,64
2020-10-09,nl,110,5867
2020-10-09,pl,1567,4280
2020-10-09,si,1625,387
2020-10-10,at,419,1131
2020-10-10,cz,4405,8617
2020-10-10,de,681,4554
2020-10-10,ee,12,49
2020-10-10,es,439,12788
2020-10-10,fi,510,235
2020-10-10,hu,1,1176
2020-10-10,ie,5748,617
2020-10-10,it,2532,5372
2020-10-10,lv,5,137
2020-10-10,nl,191,6009
2020-10-10,pl,1513,4739
2020-10-10,si,1846,365
2020-10-11,at,558,1235
2020-10-11,cz,4169,4631
2020-10-11,de,675,2968
2020-10-11,ee,13,37
2020-10-11,es,479,0
2020-10-11,fi,486,269
2020-10-11,hu,2,1374
2020-10-11,ie,6571,1011
2020-10-11,it,3409,5724
2020-10-11,lv,8,89
2020-10-11,mt,134,100
2020-10-11,nl,242,6546
2020-10-11,pl,1754,5300
2020-10-11,si,2154,380
2020-10-12,at,732,896
2020-10-12,cz,4401,3105
2020-10-12,de,858,2846
2020-10-12,ee,11,19
2020-10-12,es,532,0
2020-10-12,fi,456,149
2020-10-12,hu,2,1068
2020-10-12,ie,7175,814
2020-10-12,it,4017,5456
2020-10-12,lv,8,74
2020-10-12,nl,268,6394
2020-10-12,pl,1787,4178
2020-10-12,si,2451,411
2020-10-13,at,953,979
2020-10-13,cz,5352,4311
2020-10-13,de,885,6541
2020-10-13,ee,11,18
2020-10-13,es,590,27856
2020-10-13,fi,446,214
2020-10-13,hu,2,1173
2020-10-13,ie,8220,823
2020-10-13,it,5037,4619
2020-10-13,lv,9,95
2020-10-13,nl,319,6850
2020-10-13,pl,1906,4394
2020-10-13,si,2719,169
2020-10-14,at,1046,1028
2020-10-14,cz,6879,8326
2020-10-14,de,400,4464
2020-10-14,ee,11,25
2020-10-14,es,676,7118
2020-10-14,fi,428,287
2020-10-14,hu,2,1025
2020-10-14,ie,9624,808
2020-10-14,it,6404,5898
2020-10-14,lv,10,75
2020-10-14,nl,265,7453
2020-10-14,pl,1746,5068
